Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
7	Stromal cells	Fibroblasts	Fibroblasts	CCT4	-0.26	52.8	3.36e-06
7	Stromal cells	Fibroblasts	Fibroblasts	CDK2AP2	-0.26	23.6	3.49e-06
7	Stromal cells	Fibroblasts	Fibroblasts	EMC10	0.26	50.0	3.57e-06
7	Stromal cells	Fibroblasts	Fibroblasts	TMEM41A	-0.25	13.2	3.58e-06
7	Stromal cells	Fibroblasts	Fibroblasts	HSPB11	-0.33	36.1	3.64e-06
7	Stromal cells	Fibroblasts	Fibroblasts	SLC35B1	-0.27	21.5	3.75e-06
7	Stromal cells	Fibroblasts	Fibroblasts	RAI14	0.27	36.1	3.79e-06
7	Stromal cells	Fibroblasts	Fibroblasts	SDCBP2	-0.27	2.8	3.9e-06
7	Stromal cells	Fibroblasts	Fibroblasts	C11orf31	-0.28	72.9	4.16e-06
7	Stromal cells	Fibroblasts	Fibroblasts	OSTF1	-0.28	28.5	4.2e-06
7	Stromal cells	Fibroblasts	Fibroblasts	TLE4	0.32	36.8	4.28e-06
7	Stromal cells	Fibroblasts	Fibroblasts	C11orf58	0.25	76.4	4.4e-06
7	Stromal cells	Fibroblasts	Fibroblasts	SSR3	0.29	77.8	4.51e-06
7	Stromal cells	Fibroblasts	Fibroblasts	SRRM1	-0.26	52.8	4.54e-06
7	Stromal cells	Fibroblasts	Fibroblasts	EIF3D	-0.29	60.4	4.6e-06
7	Stromal cells	Fibroblasts	Fibroblasts	CCDC90B	-0.28	28.5	5.33e-06
7	Stromal cells	Fibroblasts	Fibroblasts	CMC2	-0.28	21.5	5.4e-06
7	Stromal cells	Fibroblasts	Fibroblasts	PSMC1	-0.31	50.7	5.49e-06
7	Stromal cells	Fibroblasts	Fibroblasts	PRPS2	-0.26	20.1	5.52e-06
7	Stromal cells	Fibroblasts	Fibroblasts	TMEM205	-0.3	41.7	5.52e-06
7	Stromal cells	Fibroblasts	Fibroblasts	AAMP	-0.29	34.0	5.54e-06
7	Stromal cells	Fibroblasts	Fibroblasts	ARHGAP23	-0.26	9.0	5.57e-06
7	Stromal cells	Fibroblasts	Fibroblasts	TERF2IP	0.27	54.9	5.62e-06
7	Stromal cells	Fibroblasts	Fibroblasts	LDHB	-0.27	72.2	5.63e-06
7	Stromal cells	Fibroblasts	Fibroblasts	NDUFB3	-0.27	54.9	5.95e-06
7	Stromal cells	Fibroblasts	Fibroblasts	ABHD12	-0.28	25.0	6.27e-06
7	Stromal cells	Fibroblasts	Fibroblasts	NFIA	0.31	22.2	6.32e-06
7	Stromal cells	Fibroblasts	Fibroblasts	PMF1	-0.28	32.6	6.37e-06
7	Stromal cells	Fibroblasts	Fibroblasts	TRIM44	-0.26	11.1	6.93e-06
7	Stromal cells	Fibroblasts	Fibroblasts	ZNHIT3	-0.26	29.2	6.98e-06
7	Stromal cells	Fibroblasts	Fibroblasts	RNF213	-0.38	32.6	7e-06
7	Stromal cells	Fibroblasts	Fibroblasts	NFKBIA	-0.36	81.2	7.12e-06
7	Stromal cells	Fibroblasts	Fibroblasts	MAPK1IP1L	-0.27	34.0	7.52e-06
7	Stromal cells	Fibroblasts	Fibroblasts	SPOCK1	0.27	37.5	7.61e-06
7	Stromal cells	Fibroblasts	Fibroblasts	ITGB1BP1	-0.28	47.2	7.64e-06
7	Stromal cells	Fibroblasts	Fibroblasts	ATF1	-0.26	18.8	8e-06
7	Stromal cells	Fibroblasts	Fibroblasts	YWHAQ	-0.27	83.3	8e-06
7	Stromal cells	Fibroblasts	Fibroblasts	LIMA1	-0.27	31.2	8.22e-06
7	Stromal cells	Fibroblasts	Fibroblasts	NCBP2-AS2	-0.27	20.8	8.32e-06
7	Stromal cells	Fibroblasts	Fibroblasts	RAD51C	-0.25	13.2	8.42e-06
7	Stromal cells	Fibroblasts	Fibroblasts	GGH	-0.31	21.5	8.58e-06
7	Stromal cells	Fibroblasts	Fibroblasts	ADIPOR1	-0.29	37.5	8.89e-06
7	Stromal cells	Fibroblasts	Fibroblasts	TMOD3	-0.29	27.1	9.36e-06
7	Stromal cells	Fibroblasts	Fibroblasts	CHPT1	-0.34	27.1	9.4e-06
7	Stromal cells	Fibroblasts	Fibroblasts	ZSWIM4	0.26	22.2	9.63e-06
7	Stromal cells	Fibroblasts	Fibroblasts	AUP1	-0.28	61.1	9.77e-06
7	Stromal cells	Fibroblasts	Fibroblasts	TRIB1	-0.3	28.5	9.78e-06
8	Stromal cells	Endothelial	Endothelial	PLVAP	2.56	93.7	0
8	Stromal cells	Endothelial	Endothelial	RAMP2	2.54	95.8	0
8	Stromal cells	Endothelial	Endothelial	VWF	2.53	86.0	0
8	Stromal cells	Endothelial	Endothelial	ENG	2.37	92.3	0
8	Stromal cells	Endothelial	Endothelial	RNASE1	2.29	90.2	0
8	Stromal cells	Endothelial	Endothelial	GNG11	2.24	96.5	0
8	Stromal cells	Endothelial	Endothelial	RAMP3	2.19	88.1	0
8	Stromal cells	Endothelial	Endothelial	AQP1	2.17	83.9	0
8	Stromal cells	Endothelial	Endothelial	A2M	2.11	91.6	0
8	Stromal cells	Endothelial	Endothelial	AC011526.1	2.0	90.9	0
8	Stromal cells	Endothelial	Endothelial	ECSCR	1.84	86.0	0
8	Stromal cells	Endothelial	Endothelial	FAM167B	1.76	76.9	0
8	Stromal cells	Endothelial	Endothelial	COL15A1	1.75	78.3	0
8	Stromal cells	Endothelial	Endothelial	CLEC14A	1.59	76.2	0
8	Stromal cells	Endothelial	Endothelial	CLDN5	1.57	53.1	0
8	Stromal cells	Endothelial	Endothelial	ELTD1	1.57	71.3	0
8	Stromal cells	Endothelial	Endothelial	C1orf54	1.47	74.1	0
8	Stromal cells	Endothelial	Endothelial	CD93	1.44	72.7	0
8	Stromal cells	Endothelial	Endothelial	EMCN	1.42	73.4	0
8	Stromal cells	Endothelial	Endothelial	SLCO2A1	1.4	63.6	0
8	Stromal cells	Endothelial	Endothelial	CALCRL	1.34	72.0	0
8	Stromal cells	Endothelial	Endothelial	GIMAP7	1.24	58.7	0
8	Stromal cells	Endothelial	Endothelial	CD34	1.2	56.6	0
8	Stromal cells	Endothelial	Endothelial	LDB2	1.14	66.4	0
8	Stromal cells	Endothelial	Endothelial	ADAMTS9	1.13	55.2	0
8	Stromal cells	Endothelial	Endothelial	CXorf36	1.1	58.0	0
8	Stromal cells	Endothelial	Endothelial	PCDH17	1.08	55.2	0
8	Stromal cells	Endothelial	Endothelial	SOX18	1.06	53.8	0
8	Stromal cells	Endothelial	Endothelial	ADCY4	1.0	58.7	0
8	Stromal cells	Endothelial	Endothelial	TM4SF18	0.95	46.9	0
8	Stromal cells	Endothelial	Endothelial	LMO2	0.95	54.5	0
8	Stromal cells	Endothelial	Endothelial	CDH5	0.93	55.2	0
8	Stromal cells	Endothelial	Endothelial	GIMAP4	0.91	48.3	0
8	Stromal cells	Endothelial	Endothelial	CD200	0.9	51.7	0
8	Stromal cells	Endothelial	Endothelial	CYYR1	0.9	50.3	0
8	Stromal cells	Endothelial	Endothelial	IL3RA	0.89	51.0	0
8	Stromal cells	Endothelial	Endothelial	MCTP1	0.89	49.7	0
8	Stromal cells	Endothelial	Endothelial	TIE1	0.86	49.0	0
8	Stromal cells	Endothelial	Endothelial	MYCT1	0.84	45.5	0
8	Stromal cells	Endothelial	Endothelial	ERG	0.77	43.4	0
8	Stromal cells	Endothelial	Endothelial	S1PR1	0.66	39.2	0
8	Stromal cells	Endothelial	Endothelial	ROBO4	0.7	36.4	1.68e-300
8	Stromal cells	Endothelial	Endothelial	NPDC1	1.91	92.3	2.93e-296
8	Stromal cells	Endothelial	Endothelial	ACVRL1	0.94	53.8	1.73e-295
8	Stromal cells	Endothelial	Endothelial	SPARCL1	2.35	79.7	5e-294
8	Stromal cells	Endothelial	Endothelial	ICAM2	1.1	60.1	1.94e-293
8	Stromal cells	Endothelial	Endothelial	RHOJ	0.69	46.2	2.09e-293
8	Stromal cells	Endothelial	Endothelial	ABI3	0.75	44.8	1.19e-291
8	Stromal cells	Endothelial	Endothelial	DARC	2.59	63.6	2.19e-291
8	Stromal cells	Endothelial	Endothelial	KDR	0.74	37.1	3.68e-290
8	Stromal cells	Endothelial	Endothelial	SELP	0.98	39.9	7.22e-287
8	Stromal cells	Endothelial	Endothelial	PODXL	1.27	49.7	2.55e-286
8	Stromal cells	Endothelial	Endothelial	ITM2A	0.93	49.7	9.51e-281
8	Stromal cells	Endothelial	Endothelial	SELE	2.9	62.9	1.3e-279
8	Stromal cells	Endothelial	Endothelial	FLT1	0.88	41.3	1.7e-274
8	Stromal cells	Endothelial	Endothelial	C2CD4B	1.23	46.9	1.41e-258
8	Stromal cells	Endothelial	Endothelial	APLNR	0.86	38.5	1.08e-254
8	Stromal cells	Endothelial	Endothelial	TCF4	1.58	86.0	5.17e-252
8	Stromal cells	Endothelial	Endothelial	COL4A1	2.13	75.5	6.43e-250
8	Stromal cells	Endothelial	Endothelial	HSPA12B	0.58	32.9	1.44e-248
8	Stromal cells	Endothelial	Endothelial	MEF2C	1.16	63.6	2.82e-245
8	Stromal cells	Endothelial	Endothelial	NRN1	0.54	30.1	7.91e-245
8	Stromal cells	Endothelial	Endothelial	SOX17	0.82	32.9	6.11e-244
8	Stromal cells	Endothelial	Endothelial	TMEM255B	0.54	33.6	2.13e-240
8	Stromal cells	Endothelial	Endothelial	KANK3	0.54	32.2	5.43e-238
8	Stromal cells	Endothelial	Endothelial	SRGN	1.37	72.0	1.58e-230
8	Stromal cells	Endothelial	Endothelial	ENTPD1	1.22	60.8	1.29e-229
8	Stromal cells	Endothelial	Endothelial	ARHGEF15	0.53	28.0	3.8e-221
8	Stromal cells	Endothelial	Endothelial	FLI1	0.61	35.7	2.04e-220
8	Stromal cells	Endothelial	Endothelial	SLC9A3R2	1.97	71.3	3.51e-220
8	Stromal cells	Endothelial	Endothelial	SCARF1	0.48	28.7	5.96e-212
8	Stromal cells	Endothelial	Endothelial	DYSF	0.55	31.5	1.16e-210
8	Stromal cells	Endothelial	Endothelial	ZNF385D	0.92	44.8	5.53e-210
8	Stromal cells	Endothelial	Endothelial	FGD5	0.45	26.6	6.98e-209
8	Stromal cells	Endothelial	Endothelial	KLF2	1.53	78.3	1.93e-207
8	Stromal cells	Endothelial	Endothelial	TM4SF1	2.24	93.0	1.45e-206
8	Stromal cells	Endothelial	Endothelial	VIM	2.49	100.0	6.57e-205
8	Stromal cells	Endothelial	Endothelial	LIMS2	0.7	42.0	4.75e-204
8	Stromal cells	Endothelial	Endothelial	SHE	0.4	25.9	1.22e-202
8	Stromal cells	Endothelial	Endothelial	ITGA5	0.94	54.5	1.87e-199
8	Stromal cells	Endothelial	Endothelial	FAM110D	0.58	28.7	7.48e-199
8	Stromal cells	Endothelial	Endothelial	TEK	0.45	26.6	7.58e-199
8	Stromal cells	Endothelial	Endothelial	EXOC3L2	0.49	25.9	8.87e-198
8	Stromal cells	Endothelial	Endothelial	BCL6B	0.46	25.2	1.18e-196
8	Stromal cells	Endothelial	Endothelial	MSN	1.37	68.5	5.94e-196
8	Stromal cells	Endothelial	Endothelial	CPXM2	0.5	32.2	2.89e-195
8	Stromal cells	Endothelial	Endothelial	HSPG2	2.17	88.1	3.33e-195
8	Stromal cells	Endothelial	Endothelial	TSPAN7	0.93	35.7	1.46e-192
8	Stromal cells	Endothelial	Endothelial	LY96	0.9	56.6	3.02e-192
8	Stromal cells	Endothelial	Endothelial	HEG1	1.08	56.6	4.69e-192
8	Stromal cells	Endothelial	Endothelial	PREX2	0.5	28.7	6.8e-191
8	Stromal cells	Endothelial	Endothelial	STAB1	0.5	30.8	4.45e-190
8	Stromal cells	Endothelial	Endothelial	IFITM2	1.97	98.6	9.09e-187
8	Stromal cells	Endothelial	Endothelial	PARVB	0.65	42.0	9.56e-182
8	Stromal cells	Endothelial	Endothelial	RND1	1.52	62.9	1.65e-181
8	Stromal cells	Endothelial	Endothelial	RASIP1	0.66	42.7	6.78e-179
8	Stromal cells	Endothelial	Endothelial	ESAM	1.33	70.6	9.09e-177
8	Stromal cells	Endothelial	Endothelial	HECW2	0.38	23.1	2.03e-173
8	Stromal cells	Endothelial	Endothelial	THBD	1.22	56.6	2.66e-173
8	Stromal cells	Endothelial	Endothelial	HLA-DRB1	2.4	84.6	1.58e-171
8	Stromal cells	Endothelial	Endothelial	NOSTRIN	0.64	33.6	2.7e-171
8	Stromal cells	Endothelial	Endothelial	NPR1	0.38	21.0	6.74e-171
8	Stromal cells	Endothelial	Endothelial	VAMP5	1.62	83.9	3e-170
8	Stromal cells	Endothelial	Endothelial	CPLX1	0.48	30.1	1.48e-169
8	Stromal cells	Endothelial	Endothelial	GIMAP6	0.46	25.2	6.56e-166
8	Stromal cells	Endothelial	Endothelial	FXYD5	1.56	90.9	1.88e-165
8	Stromal cells	Endothelial	Endothelial	COX7A1	1.03	60.1	2.24e-164
8	Stromal cells	Endothelial	Endothelial	GIMAP1	0.53	25.9	2.34e-164
8	Stromal cells	Endothelial	Endothelial	SYNPO	0.79	44.1	1.2e-162
8	Stromal cells	Endothelial	Endothelial	RAPGEF5	0.39	28.0	8.11e-162
8	Stromal cells	Endothelial	Endothelial	PRKCDBP	1.38	74.8	2.99e-161
8	Stromal cells	Endothelial	Endothelial	GPR4	0.39	24.5	9.47e-160
8	Stromal cells	Endothelial	Endothelial	IL33	0.68	30.1	6.83e-157
8	Stromal cells	Endothelial	Endothelial	CLIC2	0.53	30.8	1.18e-156
8	Stromal cells	Endothelial	Endothelial	GPR116	0.69	35.7	8.7e-156
8	Stromal cells	Endothelial	Endothelial	IFITM1	1.69	88.1	3.91e-154
8	Stromal cells	Endothelial	Endothelial	LYL1	0.49	28.7	2.09e-153
8	Stromal cells	Endothelial	Endothelial	HLA-DPA1	1.66	62.2	6.04e-152
8	Stromal cells	Endothelial	Endothelial	F2RL3	0.5	22.4	3.33e-150
8	Stromal cells	Endothelial	Endothelial	IGFBP7	2.9	98.6	7.86e-149
8	Stromal cells	Endothelial	Endothelial	MSX1	0.5	25.9	4.13e-148
8	Stromal cells	Endothelial	Endothelial	HLA-DPB1	1.55	58.0	5.22e-148
8	Stromal cells	Endothelial	Endothelial	TSPAN18	0.38	22.4	4.16e-146
8	Stromal cells	Endothelial	Endothelial	NOVA2	0.3	17.5	4.16e-146
8	Stromal cells	Endothelial	Endothelial	GRASP	0.5	27.3	5.68e-145
8	Stromal cells	Endothelial	Endothelial	IFI27	2.62	97.2	6.61e-145
8	Stromal cells	Endothelial	Endothelial	TMEM204	0.75	42.0	5.63e-144
8	Stromal cells	Endothelial	Endothelial	SPARC	1.69	86.7	1.73e-143
8	Stromal cells	Endothelial	Endothelial	SDPR	0.65	30.1	5.8e-143
8	Stromal cells	Endothelial	Endothelial	NNMT	1.22	64.3	1.4e-141
8	Stromal cells	Endothelial	Endothelial	PCDH12	0.29	18.2	3.28e-141
8	Stromal cells	Endothelial	Endothelial	HOXD9	0.59	26.6	2.15e-140
8	Stromal cells	Endothelial	Endothelial	ABCB1	0.37	20.3	2.19e-140
8	Stromal cells	Endothelial	Endothelial	COL4A2	1.85	72.0	4.44e-140
8	Stromal cells	Endothelial	Endothelial	FAM198B	0.89	51.7	1.42e-139
8	Stromal cells	Endothelial	Endothelial	GIMAP5	0.36	19.6	6.06e-139
8	Stromal cells	Endothelial	Endothelial	CD79B	0.35	21.7	1.48e-136
8	Stromal cells	Endothelial	Endothelial	TNFRSF10D	0.59	32.9	1.12e-135
8	Stromal cells	Endothelial	Endothelial	CLEC1A	0.3	21.0	8.44e-135
8	Stromal cells	Endothelial	Endothelial	IFITM3	2.3	99.3	2.75e-133
8	Stromal cells	Endothelial	Endothelial	SHANK3	0.3	18.9	5.23e-133
8	Stromal cells	Endothelial	Endothelial	P2RY6	0.47	23.8	4.04e-132
8	Stromal cells	Endothelial	Endothelial	MEOX1	0.5	24.5	7.14e-132
8	Stromal cells	Endothelial	Endothelial	ADAMTS1	1.05	42.7	1.3e-129
8	Stromal cells	Endothelial	Endothelial	MFNG	0.44	26.6	9.89e-129
8	Stromal cells	Endothelial	Endothelial	STOM	1.32	72.7	2.64e-126
8	Stromal cells	Endothelial	Endothelial	ELK3	1.01	62.2	6.54e-126
8	Stromal cells	Endothelial	Endothelial	NOS3	0.41	20.3	1.09e-125
8	Stromal cells	Endothelial	Endothelial	TMEM173	0.87	57.3	8.39e-125
8	Stromal cells	Endothelial	Endothelial	RASA4	0.87	49.0	1.38e-123
8	Stromal cells	Endothelial	Endothelial	ANGPT2	1.31	44.1	6.35e-122
8	Stromal cells	Endothelial	Endothelial	TGFBR2	0.99	58.0	2.73e-121
8	Stromal cells	Endothelial	Endothelial	LHX6	0.36	17.5	2.92e-121
8	Stromal cells	Endothelial	Endothelial	ELMO1	0.32	21.7	4.06e-121
8	Stromal cells	Endothelial	Endothelial	CD320	0.79	49.0	7.56e-121
8	Stromal cells	Endothelial	Endothelial	GMFG	1.01	61.5	1.73e-120
8	Stromal cells	Endothelial	Endothelial	GRB10	0.48	27.3	2.93e-120
8	Stromal cells	Endothelial	Endothelial	RAPGEF4	0.64	34.3	9.24e-120
8	Stromal cells	Endothelial	Endothelial	CCDC3	0.68	35.0	3.67e-119
8	Stromal cells	Endothelial	Endothelial	UTRN	0.63	39.9	8.11e-119
8	Stromal cells	Endothelial	Endothelial	FAM171A1	0.4	25.9	8.03e-118
8	Stromal cells	Endothelial	Endothelial	CCM2L	0.27	15.4	7e-117
8	Stromal cells	Endothelial	Endothelial	ADAMTS6	0.6	26.6	7.49e-117
8	Stromal cells	Endothelial	Endothelial	SPRY1	1.09	51.7	1.22e-116
8	Stromal cells	Endothelial	Endothelial	FZD4	0.45	28.7	1.74e-115
8	Stromal cells	Endothelial	Endothelial	MCAM	1.03	43.4	4.35e-114
8	Stromal cells	Endothelial	Endothelial	HOXD8	0.59	30.8	3.68e-113
8	Stromal cells	Endothelial	Endothelial	RGCC	1.92	60.1	7.27e-112
8	Stromal cells	Endothelial	Endothelial	MMRN2	0.93	53.8	2.63e-111
8	Stromal cells	Endothelial	Endothelial	TMTC1	0.32	18.9	4.85e-111
8	Stromal cells	Endothelial	Endothelial	RBP7	0.47	19.6	7.62e-111
8	Stromal cells	Endothelial	Endothelial	NOTCH4	0.91	39.2	4.45e-110
8	Stromal cells	Endothelial	Endothelial	LAMA4	0.93	50.3	1.84e-107
8	Stromal cells	Endothelial	Endothelial	DCHS1	0.41	22.4	2.33e-107
8	Stromal cells	Endothelial	Endothelial	PDE2A	0.3	16.1	1.6e-105
8	Stromal cells	Endothelial	Endothelial	CNRIP1	0.47	32.9	3.92e-105
8	Stromal cells	Endothelial	Endothelial	PTMS	1.31	86.0	4.4e-105
8	Stromal cells	Endothelial	Endothelial	ETS1	0.79	52.4	7.43e-105
8	Stromal cells	Endothelial	Endothelial	CARD16	0.76	45.5	9e-105
8	Stromal cells	Endothelial	Endothelial	ZNF521	0.44	24.5	1.59e-104
8	Stromal cells	Endothelial	Endothelial	GJA1	0.74	46.2	2.57e-104
8	Stromal cells	Endothelial	Endothelial	FLT4	0.26	13.3	4.49e-104
8	Stromal cells	Endothelial	Endothelial	CLEC2B	1.02	65.7	5.26e-104
8	Stromal cells	Endothelial	Endothelial	RAB3C	0.29	12.6	1.67e-103
8	Stromal cells	Endothelial	Endothelial	NRP2	0.64	34.3	3e-103
8	Stromal cells	Endothelial	Endothelial	HLA-DRA	2.04	69.2	1.52e-102
8	Stromal cells	Endothelial	Endothelial	EGFL7	1.38	82.5	1.53e-102
8	Stromal cells	Endothelial	Endothelial	HLA-DRB5	0.49	25.2	1.99e-102
8	Stromal cells	Endothelial	Endothelial	SH2D3C	0.42	21.0	4.49e-101
8	Stromal cells	Endothelial	Endothelial	IFI16	0.98	65.0	6.19e-101
8	Stromal cells	Endothelial	Endothelial	F2R	0.58	37.1	7.42e-101
8	Stromal cells	Endothelial	Endothelial	TCN2	0.44	29.4	9.91e-101
8	Stromal cells	Endothelial	Endothelial	HLX	0.41	21.7	4.69e-100
8	Stromal cells	Endothelial	Endothelial	ZNF467	0.33	21.7	4.81e-100
8	Stromal cells	Endothelial	Endothelial	ESM1	1.35	16.8	7.76e-98
8	Stromal cells	Endothelial	Endothelial	HYAL2	1.57	84.6	8.28e-98
8	Stromal cells	Endothelial	Endothelial	PTRF	1.24	76.2	1.12e-97
8	Stromal cells	Endothelial	Endothelial	TMEM88	0.77	35.7	1.54e-97
8	Stromal cells	Endothelial	Endothelial	KCNJ2	0.26	11.2	1.96e-97
8	Stromal cells	Endothelial	Endothelial	HAPLN1	0.39	11.9	2.17e-97
8	Stromal cells	Endothelial	Endothelial	RAPGEF3	0.39	23.1	3.79e-97
8	Stromal cells	Endothelial	Endothelial	SELM	0.97	74.1	1.1e-96
8	Stromal cells	Endothelial	Endothelial	CCL14	1.28	37.1	2.19e-96
8	Stromal cells	Endothelial	Endothelial	ITGA9	0.25	15.4	3.83e-96
8	Stromal cells	Endothelial	Endothelial	CYTL1	0.35	15.4	4.73e-96
8	Stromal cells	Endothelial	Endothelial	BDKRB2	0.33	19.6	2.76e-95
8	Stromal cells	Endothelial	Endothelial	PTPRB	0.81	43.4	8.01e-95
8	Stromal cells	Endothelial	Endothelial	ZEB1	0.56	29.4	3.46e-94
8	Stromal cells	Endothelial	Endothelial	FAM43A	0.72	37.1	5.78e-93
8	Stromal cells	Endothelial	Endothelial	OLFM1	0.45	20.3	1.75e-92
8	Stromal cells	Endothelial	Endothelial	JAG2	0.44	24.5	2.54e-92
8	Stromal cells	Endothelial	Endothelial	VCAM1	1.16	42.0	4.15e-92
8	Stromal cells	Endothelial	Endothelial	PLA1A	0.28	14.0	4.4e-92
8	Stromal cells	Endothelial	Endothelial	HLA-DQA1	0.76	25.9	8.37e-92
8	Stromal cells	Endothelial	Endothelial	SOX7	0.34	19.6	1.4e-91
8	Stromal cells	Endothelial	Endothelial	VWA1	1.53	78.3	9.23e-91
8	Stromal cells	Endothelial	Endothelial	DDAH2	0.89	60.8	2.11e-89
8	Stromal cells	Endothelial	Endothelial	SPRY4	0.47	25.2	3.99e-89
8	Stromal cells	Endothelial	Endothelial	GALNT18	0.33	20.3	8.86e-89
8	Stromal cells	Endothelial	Endothelial	CCL2	1.51	45.5	2.89e-88
8	Stromal cells	Endothelial	Endothelial	RCAN1	1.58	59.4	1.84e-86
8	Stromal cells	Endothelial	Endothelial	HHEX	0.45	25.9	2.28e-86
8	Stromal cells	Endothelial	Endothelial	CCL23	0.33	11.2	5.32e-86
8	Stromal cells	Endothelial	Endothelial	LEF1	0.41	24.5	8.31e-86
8	Stromal cells	Endothelial	Endothelial	CFI	0.69	42.7	9.61e-86
8	Stromal cells	Endothelial	Endothelial	PKIG	0.86	50.3	1.09e-85
8	Stromal cells	Endothelial	Endothelial	WWTR1	1.01	65.0	2.16e-85
8	Stromal cells	Endothelial	Endothelial	HLA-DQB1	0.91	35.7	7.1e-85
8	Stromal cells	Endothelial	Endothelial	IGFBP4	1.31	90.2	1.56e-84
8	Stromal cells	Endothelial	Endothelial	LPAR6	0.82	45.5	8.23e-84
8	Stromal cells	Endothelial	Endothelial	BST2	1.34	74.1	8.34e-83
8	Stromal cells	Endothelial	Endothelial	MAPK12	0.32	18.9	8.53e-83
8	Stromal cells	Endothelial	Endothelial	PTPRG	0.59	31.5	1.06e-81
8	Stromal cells	Endothelial	Endothelial	PTP4A3	0.6	30.1	1.63e-81
8	Stromal cells	Endothelial	Endothelial	FCN3	0.3	12.6	1.12e-80
8	Stromal cells	Endothelial	Endothelial	MMRN1	0.29	10.5	5.95e-80
8	Stromal cells	Endothelial	Endothelial	APLN	0.56	13.3	1.54e-79
8	Stromal cells	Endothelial	Endothelial	ICAM1	1.59	68.5	4.42e-79
8	Stromal cells	Endothelial	Endothelial	MAP1B	0.63	34.3	1.66e-78
8	Stromal cells	Endothelial	Endothelial	GPX1	1.13	78.3	3.81e-78
8	Stromal cells	Endothelial	Endothelial	NOVA1	0.36	20.3	3.31e-77
8	Stromal cells	Endothelial	Endothelial	NRP1	0.8	44.1	4.1e-77
8	Stromal cells	Endothelial	Endothelial	IL6ST	0.96	62.9	5.6e-77
8	Stromal cells	Endothelial	Endothelial	CXCL12	0.94	24.5	7.78e-77
8	Stromal cells	Endothelial	Endothelial	SEMA3F	0.56	29.4	6.92e-75
8	Stromal cells	Endothelial	Endothelial	SMAD1	0.38	23.8	7.41e-75
8	Stromal cells	Endothelial	Endothelial	CD74	2.37	82.5	1.61e-74
8	Stromal cells	Endothelial	Endothelial	PROS1	0.39	22.4	2.96e-74
8	Stromal cells	Endothelial	Endothelial	DOCK6	0.59	37.8	3.5e-74
8	Stromal cells	Endothelial	Endothelial	PXDN	0.55	30.1	5.15e-74
8	Stromal cells	Endothelial	Endothelial	ARRDC3	0.98	53.8	1.04e-73
8	Stromal cells	Endothelial	Endothelial	SHROOM4	0.36	21.7	1.08e-73
8	Stromal cells	Endothelial	Endothelial	FAM101B	0.5	28.7	2.87e-73
8	Stromal cells	Endothelial	Endothelial	KRT19	-2.34	80.4	3.76e-73
8	Stromal cells	Endothelial	Endothelial	TNFRSF4	0.45	15.4	3.46e-72
8	Stromal cells	Endothelial	Endothelial	FKBP1A	1.25	98.6	4.35e-72
8	Stromal cells	Endothelial	Endothelial	HSPA1A	1.84	75.5	5.4e-72
8	Stromal cells	Endothelial	Endothelial	SNAP25	0.26	11.9	1.3e-71
8	Stromal cells	Endothelial	Endothelial	VASH1	0.3	21.0	3.41e-71
8	Stromal cells	Endothelial	Endothelial	INHBB	0.28	12.6	5.08e-71
8	Stromal cells	Endothelial	Endothelial	LRRC32	0.49	27.3	5.6e-71
8	Stromal cells	Endothelial	Endothelial	KRT8	-2.2	49.0	5.75e-70
8	Stromal cells	Endothelial	Endothelial	MGST1	-2.06	28.0	9.2e-70
8	Stromal cells	Endothelial	Endothelial	MAPK11	0.33	21.0	1.83e-69
8	Stromal cells	Endothelial	Endothelial	S100P	-1.9	70.6	2e-69
8	Stromal cells	Endothelial	Endothelial	ANKRD28	1.08	60.8	6.82e-69
8	Stromal cells	Endothelial	Endothelial	CLDN4	-1.9	57.3	4.89e-68
8	Stromal cells	Endothelial	Endothelial	PROCR	0.41	24.5	3.07e-67
8	Stromal cells	Endothelial	Endothelial	KRT18	-2.18	51.7	6.89e-67
8	Stromal cells	Endothelial	Endothelial	FTH1	-1.06	99.3	1.71e-66
8	Stromal cells	Endothelial	Endothelial	TENC1	0.43	30.8	2.45e-66
8	Stromal cells	Endothelial	Endothelial	HLA-E	1.39	95.8	2.64e-66
8	Stromal cells	Endothelial	Endothelial	PLXND1	0.78	44.8	6.35e-66
8	Stromal cells	Endothelial	Endothelial	ABL2	1.04	59.4	6.64e-66
8	Stromal cells	Endothelial	Endothelial	ELF3	-1.89	27.3	7.27e-66
8	Stromal cells	Endothelial	Endothelial	GYPC	0.63	35.0	1.01e-65
8	Stromal cells	Endothelial	Endothelial	C19orf33	-1.64	26.6	1.04e-65
8	Stromal cells	Endothelial	Endothelial	KCTD12	0.46	28.0	1.27e-65
8	Stromal cells	Endothelial	Endothelial	ENPP2	0.36	14.7	1.94e-65
8	Stromal cells	Endothelial	Endothelial	SH2B3	0.39	22.4	2.23e-65
8	Stromal cells	Endothelial	Endothelial	TSHZ2	0.85	53.1	4.27e-65
8	Stromal cells	Endothelial	Endothelial	ADM5	0.4	18.9	1.26e-64
8	Stromal cells	Endothelial	Endothelial	SPINT2	-1.56	46.2	2.2e-64
8	Stromal cells	Endothelial	Endothelial	KRT7	-2.37	64.3	2.52e-64
8	Stromal cells	Endothelial	Endothelial	SPINK1	-2.58	79.0	6.97e-64
